panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel (2),2026-02-18T15:00:04.6286430+09:00,1771394404.628000,2026-02-18T15:00:05.8680190+09:00,1771394405.868000,1.240000,0.132683,1.491456,-8.575251,0.000000,0.995920,0.000000,0.090240,-0.502899,-0.802976,3.169207,0.132114,-0.083496,0.019548,0.987518
AdPanel (2),2026-02-18T15:00:06.1742720+09:00,1771394406.174000,2026-02-18T15:00:08.1090380+09:00,1771394408.109000,1.935000,0.132683,1.491456,-8.575251,0.000000,0.995920,0.000000,0.090240,-0.802162,-0.487866,3.146078,0.082916,-0.126740,0.042796,0.987537
AdPanel (2),2026-02-18T15:00:08.6377250+09:00,1771394408.637000,2026-02-18T15:00:10.5728920+09:00,1771394410.572000,1.935000,0.132683,1.491456,-8.575251,0.000000,0.995920,0.000000,0.090240,-0.820373,-0.324024,3.177768,0.058473,-0.127279,0.040803,0.989301
AdPanel (2),2026-02-18T15:00:11.2273570+09:00,1771394411.227000,2026-02-18T15:00:12.8556800+09:00,1771394412.855000,1.628000,0.132683,1.491456,-8.575251,0.000000,0.995920,0.000000,0.090240,-0.786704,-0.111566,3.202021,0.025478,-0.119107,0.055226,0.991017
AdPanel (2),2026-02-18T15:00:16.3366440+09:00,1771394416.336000,2026-02-18T15:00:16.7677060+09:00,1771394416.767000,0.431000,0.132683,1.491456,-8.575251,0.000000,0.995920,0.000000,0.090240,-0.719001,-0.040648,3.222746,0.017975,-0.110870,0.039973,0.992868
AdPanel (2),2026-02-18T15:00:19.1611940+09:00,1771394419.161000,2026-02-18T15:00:20.4002040+09:00,1771394420.400000,1.239000,0.132683,1.491456,-8.575251,0.000000,0.995920,0.000000,0.090240,-0.633264,0.327512,3.176162,-0.037152,-0.095803,0.040459,0.993884
AdPanel (1),2026-02-18T15:02:29.5671640+09:00,1771394549.567000,2026-02-18T15:02:30.7361670+09:00,1771394550.736000,1.169000,-1.561912,1.408713,-0.314305,0.000000,0.295544,0.000000,-0.955329,-0.656697,0.435530,3.135577,-0.069763,-0.098285,0.083704,0.989175
AdPanel (1),2026-02-18T15:02:32.0031360+09:00,1771394552.003000,2026-02-18T15:02:34.5778310+09:00,1771394554.577000,2.574000,-1.561912,1.408713,-0.314305,0.000000,0.295544,0.000000,-0.955329,-2.206806,-0.211911,2.408649,-0.008456,-0.354644,0.124446,0.926644
AdPanel (1),2026-02-18T15:02:35.8032030+09:00,1771394555.803000,2026-02-18T15:02:37.9331610+09:00,1771394557.933000,2.130000,-1.561912,1.408713,-0.314305,0.000000,0.295544,0.000000,-0.955329,-1.504071,-0.150487,2.917825,0.007104,-0.248802,0.084093,0.964871
AdPanel (1),2026-02-18T15:02:38.7399390+09:00,1771394558.739000,2026-02-18T15:02:42.4709680+09:00,1771394562.470000,3.731000,-1.561912,1.408713,-0.314305,0.000000,0.295544,0.000000,-0.955329,-1.166785,-0.248424,3.061612,0.028806,-0.182901,0.080792,0.979383
AdPanel (1),2026-02-18T15:02:42.8748430+09:00,1771394562.874000,2026-02-18T15:02:43.3062760+09:00,1771394563.306000,0.432000,-1.561912,1.408713,-0.314305,0.000000,0.295544,0.000000,-0.955329,-1.519911,-0.465939,2.916840,0.045100,-0.240635,0.129988,0.960814
