panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel (1),2026-03-09T11:12:24.2439910+09:00,1773022344.243000,2026-03-09T11:12:24.5221970+09:00,1773022344.522000,0.279000,2.128744,1.525973,-6.203081,0.000000,0.997604,0.000000,0.069187,-0.781028,0.404105,3.012376,-0.064662,-0.170239,0.006427,0.983258
AdPanel,2026-03-09T11:15:00.6536520+09:00,1773022500.653000,2026-03-09T11:15:01.6830700+09:00,1773022501.683000,1.030000,7.706825,1.566641,-0.418716,0.000000,0.577143,0.000000,0.816643,-0.542357,-0.057958,2.994817,0.012220,-0.119113,0.024477,0.992504
AdPanel,2026-03-09T11:15:01.9889390+09:00,1773022501.988000,2026-03-09T11:15:02.9777890+09:00,1773022502.977000,0.989000,7.706825,1.566641,-0.418716,0.000000,0.577143,0.000000,0.816643,0.843932,1.023847,2.728313,-0.168851,0.105045,-0.030313,0.979559
AdPanel,2026-03-09T11:15:03.4234600+09:00,1773022503.423000,2026-03-09T11:15:04.6476140+09:00,1773022504.647000,1.224000,7.706825,1.566641,-0.418716,0.000000,0.577143,0.000000,0.816643,0.237625,-0.236027,3.019799,0.041537,0.012091,-0.003210,0.999059
AdPanel,2026-03-09T11:15:05.4132860+09:00,1773022505.413000,2026-03-09T11:15:06.4562620+09:00,1773022506.456000,1.043000,7.706825,1.566641,-0.418716,0.000000,0.577143,0.000000,0.816643,2.215476,-0.305749,2.101434,0.052370,0.363022,-0.011433,0.930238
AdPanel,2026-03-09T11:15:07.6547820+09:00,1773022507.654000,2026-03-09T11:15:08.0988600+09:00,1773022508.098000,0.444000,7.706825,1.566641,-0.418716,0.000000,0.577143,0.000000,0.816643,-2.432000,-0.134336,1.815582,0.011372,-0.466502,0.036380,0.883698
AdPanel,2026-03-09T11:15:12.8464490+09:00,1773022512.846000,2026-03-09T11:15:14.3782680+09:00,1773022514.378000,1.532000,7.706825,1.566641,-0.418716,0.000000,0.577143,0.000000,0.816643,-0.933917,0.119560,3.432290,-0.014106,-0.124563,0.012617,0.992031
AdPanel,2026-03-09T11:15:15.2131680+09:00,1773022515.213000,2026-03-09T11:15:15.5470590+09:00,1773022515.547000,0.334000,7.706825,1.566641,-0.418716,0.000000,0.577143,0.000000,0.816643,-1.250269,0.527244,3.279787,-0.075487,-0.164931,0.031340,0.982913
AdPanel (2),2026-03-09T11:16:37.8854720+09:00,1773022597.885000,2026-03-09T11:16:38.7203510+09:00,1773022598.720000,0.835000,-1.112390,1.591884,-1.739207,0.000000,0.695458,0.000000,-0.718567,-0.110197,0.315280,3.270973,-0.040053,-0.046588,-0.020732,0.997896
AdPanel (2),2026-03-09T11:16:40.0147650+09:00,1773022600.014000,2026-03-09T11:16:41.6576850+09:00,1773022601.657000,1.643000,-1.112390,1.591884,-1.739207,0.000000,0.695458,0.000000,-0.718567,-0.277482,0.602629,3.232696,-0.081703,-0.073978,0.013581,0.993815
AdPanel (2),2026-03-09T11:16:43.6602260+09:00,1773022603.660000,2026-03-09T11:16:44.8853900+09:00,1773022604.885000,1.225000,-1.112390,1.591884,-1.739207,0.000000,0.695458,0.000000,-0.718567,-1.204529,0.202929,3.467627,-0.022971,-0.181776,0.023847,0.982782
AdPanel (2),2026-03-09T11:16:52.4884500+09:00,1773022612.488000,2026-03-09T11:16:52.8500710+09:00,1773022612.850000,0.362000,-1.112390,1.591884,-1.739207,0.000000,0.695458,0.000000,-0.718567,-1.814144,-0.142531,5.759752,0.018489,0.046652,-0.007668,0.998711
AdPanel (2),2026-03-09T11:16:53.7549780+09:00,1773022613.754000,2026-03-09T11:16:54.2564890+09:00,1773022614.256000,0.502000,-1.112390,1.591884,-1.739207,0.000000,0.695458,0.000000,-0.718567,-0.304880,-0.349277,6.032180,0.036386,0.174359,-0.018118,0.983843
AdPanel (2),2026-03-09T11:16:57.2214580+09:00,1773022617.221000,2026-03-09T11:16:57.2904820+09:00,1773022617.290000,0.069000,-1.112390,1.591884,-1.739207,0.000000,0.695458,0.000000,-0.718567,2.216765,-0.718424,5.628608,0.061773,0.373897,-0.021682,0.925157
